solver,problem,increment,order_of_conv
newton_raphson,elastoplastic_nlh_4x4,1,nan
newton_raphson,elastoplastic_nlh_4x4,2,nan
newton_raphson,elastoplastic_nlh_4x4,3,nan
newton_raphson,elastoplastic_nlh_4x4,4,nan
newton_raphson,elastoplastic_nlh_4x4,5,nan
newton_raphson,elastoplastic_nlh_4x4,6,nan
newton_raphson,elastoplastic_nlh_4x4,7,nan
newton_raphson,elastoplastic_nlh_4x4,8,nan
newton_raphson,elastoplastic_nlh_4x4,9,nan
newton_raphson,elastoplastic_nlh_4x4,10,nan
damped_picard,elastoplastic_nlh_4x4,1,1.0000000001308802
damped_picard,elastoplastic_nlh_4x4,2,nan
damped_picard,elastoplastic_nlh_4x4,3,nan
damped_picard,elastoplastic_nlh_4x4,4,nan
damped_picard,elastoplastic_nlh_4x4,5,nan
damped_picard,elastoplastic_nlh_4x4,6,nan
damped_picard,elastoplastic_nlh_4x4,7,nan
damped_picard,elastoplastic_nlh_4x4,8,nan
damped_picard,elastoplastic_nlh_4x4,9,nan
damped_picard,elastoplastic_nlh_4x4,10,nan
anderson,elastoplastic_nlh_4x4,1,1.4152795629156203
anderson,elastoplastic_nlh_4x4,2,nan
anderson,elastoplastic_nlh_4x4,3,nan
anderson,elastoplastic_nlh_4x4,4,nan
anderson,elastoplastic_nlh_4x4,5,nan
anderson,elastoplastic_nlh_4x4,6,nan
anderson,elastoplastic_nlh_4x4,7,nan
anderson,elastoplastic_nlh_4x4,8,nan
anderson,elastoplastic_nlh_4x4,9,nan
anderson,elastoplastic_nlh_4x4,10,nan
broyden,elastoplastic_nlh_4x4,1,nan
broyden,elastoplastic_nlh_4x4,2,nan
broyden,elastoplastic_nlh_4x4,3,nan
broyden,elastoplastic_nlh_4x4,4,nan
broyden,elastoplastic_nlh_4x4,5,nan
broyden,elastoplastic_nlh_4x4,6,nan
broyden,elastoplastic_nlh_4x4,7,nan
broyden,elastoplastic_nlh_4x4,8,nan
broyden,elastoplastic_nlh_4x4,9,nan
broyden,elastoplastic_nlh_4x4,10,nan
jfnk,elastoplastic_nlh_4x4,1,nan
jfnk,elastoplastic_nlh_4x4,2,nan
jfnk,elastoplastic_nlh_4x4,3,nan
jfnk,elastoplastic_nlh_4x4,4,nan
jfnk,elastoplastic_nlh_4x4,5,nan
jfnk,elastoplastic_nlh_4x4,6,nan
jfnk,elastoplastic_nlh_4x4,7,nan
jfnk,elastoplastic_nlh_4x4,8,nan
jfnk,elastoplastic_nlh_4x4,9,nan
jfnk,elastoplastic_nlh_4x4,10,nan
rand_subspace_newton,elastoplastic_nlh_4x4,1,nan
rand_subspace_newton,elastoplastic_nlh_4x4,2,nan
rand_subspace_newton,elastoplastic_nlh_4x4,3,nan
rand_subspace_newton,elastoplastic_nlh_4x4,4,nan
rand_subspace_newton,elastoplastic_nlh_4x4,5,nan
rand_subspace_newton,elastoplastic_nlh_4x4,6,nan
rand_subspace_newton,elastoplastic_nlh_4x4,7,nan
rand_subspace_newton,elastoplastic_nlh_4x4,8,nan
rand_subspace_newton,elastoplastic_nlh_4x4,9,nan
rand_subspace_newton,elastoplastic_nlh_4x4,10,nan
